iter	RMSE
187	538.8088923
188	538.7944854
189	538.7339786
190	538.7198758
191	538.6530127
192	538.4913739
193	538.2276077
194	538.1219635
195	538.0884564
196	537.7763277
197	537.6897606
198	537.5501829
199	537.4019438
200	537.3340928
201	537.1696566
202	537.0899469
203	536.9305219
204	536.8912789
205	536.7516958
206	536.6493789
207	536.2883571
208	536.2128627
209	535.9614222
210	535.7400427
211	535.6639847
212	535.6335272
213	535.4770725
214	535.409558
215	535.3661137
216	535.1655703
217	535.0750417
218	534.9293638
219	534.8079789
220	534.6970514
221	534.6399685
222	534.3578879
223	534.2257244
224	533.8924636
225	533.7567431
226	533.703074
227	533.642336
228	533.4199299
229	533.3650256
230	533.327227
231	533.3074163
232	533.0595914
233	532.9354225
234	532.8924285
235	532.8570089
236	532.8195798
237	532.5973195
238	532.4562821
239	532.3716878
240	532.3438813
241	532.2646084
242	532.2094436
243	532.1848111
244	532.1302884
245	531.8143
246	531.7220001
247	531.5779835
248	531.4655079
249	531.2483157
250	531.0295448
251	530.8568971
252	530.6253409
253	530.4287907
254	530.2730446
255	530.0962879
256	530.0702469
257	530.0153178
258	529.8393783
259	529.7667535
260	529.5630126
261	529.2259242
262	529.043547
263	529.0369122
264	528.8258934
265	528.6365049
266	528.5572683
267	528.4110369
268	528.138174
269	527.9777996
270	527.8524712
271	527.7233696
272	527.6784485
273	527.6564333
274	527.4433974
275	527.2573734
276	527.0548683
277	526.8563121
278	526.7412895
279	526.5717056
280	526.3983328
281	526.2502327
282	526.2368685
283	526.0017514
284	525.7135865
285	525.5721023
286	525.456791
287	525.3085313
288	525.2564756
289	524.978083
290	524.813729
291	524.7356798
292	524.6072821
293	524.4494616
294	524.3145962
295	524.1669691
296	524.0864355
297	524.0238901
298	523.8471086
299	523.8277952
300	523.8230858
301	523.6869401
302	523.5128745
303	523.3216641
304	523.1840932
305	523.0807283
306	522.9085232
307	522.7732656
308	522.7670889
309	522.6146471
310	522.5173521
311	522.4192717
312	522.3291723
313	522.1901815
314	522.0804134
315	522.0176606
316	521.8796502
317	521.7333651
318	521.6297853
319	521.4604039
320	521.337176
321	521.0928095
322	520.9255825
323	520.8077368
324	520.7356775
325	520.6671292
326	520.5075766
327	520.3400052
328	520.2818587
329	520.2517429
330	520.0900767
331	519.9767553
332	519.8986937
333	519.7441336
334	519.5882781
335	519.4987893
336	519.3945383
337	519.3680989
338	519.3301031
339	519.2133097
340	519.2051233
341	519.1260163
342	519.0379546
343	518.92959
344	518.8692934
345	518.7958672
346	518.5811026
347	518.4727185
348	518.3668925
349	518.2101939
350	518.1055971
351	517.945575
352	517.8209827
353	517.6533993
354	517.5499932
355	517.4102804
356	517.3760053
357	517.3200006
358	517.1842453
359	517.0398285
360	516.7986679
361	516.6572538
362	516.4937926
363	516.3503293
364	516.0363218
365	515.9397045
366	515.9365826
367	515.8251545
368	515.7209259
369	515.6190101
370	515.5181985
371	515.3533212
372	515.1773635
373	515.0948055
374	514.9759865
375	514.8599945
376	514.7638371
377	514.7615018
378	514.6465037
379	514.5009683
380	514.4166638
381	514.2756225
382	514.187954
383	514.0945599
384	513.9933115
385	513.8753564
386	513.8726017
387	513.6801322
388	513.5729342
389	513.569756
390	513.5378104
391	513.4206017
392	513.3017848
393	513.2162655
394	513.1059517
395	512.9691773
396	512.7866661
397	512.6222231
398	512.5123198
399	512.4418136
400	512.314227
401	512.2277487
402	512.0193747
403	511.9154014
404	511.9132133
405	511.8216326
406	511.6862888
407	511.6471938
408	511.5688378
409	511.5402947
410	511.4217045
411	511.3160831
412	511.2383875
413	511.0107735
414	510.8721962
415	510.8177106
416	510.7267816
417	510.6671075
418	510.6159141
419	510.4584988
420	510.3812321
421	510.3120101
422	510.0805679
423	510.0020976
424	509.8991122
425	509.7693955
426	509.4927515
427	509.3501137
428	509.1586668
429	509.032654
430	508.8114579
431	508.8007393
432	508.6687554
433	508.5016257
434	508.3666814
435	508.2219882
436	508.1195106
437	507.9791911
438	507.8520366
439	507.7408791
440	507.6232059
441	507.5102991
442	507.4385518
443	507.30394
444	507.1943047
445	507.0801722
446	506.9148803
447	506.8261616
448	506.7865809
449	506.6420758
450	506.568655
451	506.5256797
452	506.5235976
453	506.5134423
454	506.4408689
455	506.4052999
456	506.3353288
457	506.2323738
458	506.1402779
459	506.1256686
460	506.0329229
461	506.0314086
462	505.9287712
463	505.8388266
464	505.6897348
465	505.5950128
466	505.5162503
467	505.4100038
468	505.3765316
469	505.3749156
470	505.3006203
471	505.2133716
472	505.0744182
473	505.0027015
474	504.8749891
475	504.7934863
476	504.6108959
477	504.5670301
478	504.4865592
479	504.3403602
480	504.26705
481	504.1916397
482	504.0762442
483	503.9473679
484	503.8598688
485	503.7614865
486	503.5948142
487	503.431589
488	503.2654878
489	503.1273005
490	503.0323752
491	502.9518106
492	502.7509116
493	502.6675658
494	502.6180013
495	502.5091025
496	502.3548572
497	502.2421644
498	502.0613796
499	501.9255298
500	501.7272876
501	501.6211532
502	501.4390239
503	501.3404151
504	501.2893898
505	501.2703637
506	501.127298
507	501.0033912
508	500.8942765
509	500.7898869
510	500.7389029
511	500.7366142
512	500.6123927
513	500.5489562
514	500.4074366
515	500.2810164
516	500.2033612
517	500.2016859
518	500.1300947
519	500.0119125
520	499.9677267
521	499.8451298
522	499.7835845
523	499.7132864
524	499.6481285
525	499.6076178
526	499.4229067
527	499.2930412
528	499.1839492
529	499.1443726
530	499.0808082
531	498.986268
532	498.8056387
533	498.6222826
534	498.4855511
535	498.4147797
536	498.3848051
537	498.2865758
538	498.1364418
539	498.0335111
540	497.9455129
541	497.8088493
542	497.6925055
543	497.611456
544	497.5277497
545	497.4713695
546	497.3440482
547	497.2463786
548	497.0862017
549	496.9561169
550	496.8696397
551	496.8085962
552	496.7010682
553	496.6995316
554	496.5892405
555	496.4805738
556	496.3116434
557	496.1464196
558	496.014309
559	495.9461584
560	495.9445684
561	495.8602409
562	495.7308499
563	495.6083512
564	495.5696802
565	495.4770706
566	495.3208787
567	495.179743
568	495.0964364
569	495.0406916
570	494.9318537
571	494.6946964
572	494.6513888
573	494.5405004
574	494.4061866
575	494.3435327
576	494.2669697
577	494.1863589
578	494.1191115
579	494.0730986
580	493.9946113
581	493.8382819
582	493.7777449
583	493.7506884
584	493.6355525
585	493.5702009
586	493.3968235
587	493.2778709
588	493.2257545
589	493.1320085
590	493.0924868
591	492.9876916
592	492.8899445
593	492.7316886
594	492.5328708
595	492.4239357
596	492.3199932
597	492.2114313
598	492.1490038
599	492.001977
600	491.8198549
601	491.6585791
602	491.5826846
603	491.4954687
604	491.3779667
605	491.21742
606	491.1656418
607	491.0837247
608	490.997809
609	490.8898077
610	490.7966017
611	490.7830367
612	490.7421545
613	490.6310485
614	490.5347869
615	490.4746024
616	490.3644609
617	490.2821954
618	490.1917455
619	490.1427496
620	490.0012726
621	489.871172
622	489.7891719
623	489.6465224
624	489.5785752
625	489.5526629
626	489.5145892
627	489.4262696
628	489.3291219
629	489.1902314
630	489.058397
631	488.995434
632	488.885532
633	488.7939909
634	488.6946436
635	488.6347536
636	488.5307644
637	488.4731331
638	488.3924429
639	488.3251827
640	488.2335918
641	488.106627
642	487.9728868
643	487.9001821
644	487.8511404
645	487.7471049
646	487.6702856
647	487.5388813
648	487.4388407
649	487.3549568
650	487.3058411
651	487.2002192
652	487.1300091
653	487.0657117
654	486.9978081
655	486.9169455
656	486.898572
657	486.8266492
658	486.770654
659	486.6692447
660	486.6391297
661	486.4564046
662	486.4205285
663	486.2751185
664	486.1762516
665	485.9993398
666	485.8883738
667	485.8305939
668	485.7077965
669	485.5983393
670	485.5468874
671	485.439058
672	485.3219626
673	485.2083922
674	485.0687237
675	485.0472352
676	484.922672
677	484.8565103
678	484.745262
679	484.6748084
680	484.5615189
681	484.4132624
682	484.3037322
683	484.1420819
684	484.1061931
685	483.9957898
686	483.9621171
687	483.9140413
688	483.8483191
689	483.760983
690	483.7122445
691	483.53343
692	483.476759
693	483.4303463
694	483.4150541
695	483.3647072
696	483.2548432
697	483.1066681
698	482.961083
699	482.897645
700	482.8640402
701	482.8020886
702	482.6146119
703	482.5304492
704	482.4517683
705	482.3006762
706	482.1820635
707	482.0109456
708	481.9154481
709	481.8470408
710	481.7533232
711	481.6431414
712	481.4397052
713	481.4009984
714	481.2534624
715	481.1243823
716	481.0936964
717	480.9753589
718	480.9469863
719	480.8248213
720	480.6781128
721	480.5461345
722	480.4063445
723	480.2750884
724	480.1887686
725	480.1239686
726	479.9698367
727	479.8855212
728	479.8658738
729	479.7689618
730	479.671106
731	479.5984427
732	479.5248784
733	479.4834528
734	479.374915
735	479.2968646
736	479.148228
737	479.0350796
738	478.9435748
739	478.861614
740	478.7696875
741	478.6375134
742	478.5691941
743	478.5399629
744	478.5099909
745	478.4301691
746	478.407238
747	478.3124689
748	478.2836221
749	478.1396959
750	478.1182779
751	478.0758122
752	478.0482864
753	477.9530867
754	477.8686487
755	477.7346553
756	477.6205895
757	477.5590604
758	477.4779953
759	477.4050826
760	477.3367081
761	477.2812735
762	477.1939788
763	477.1490686
764	477.1314976
765	477.0666053
766	477.031125
767	476.9179144
768	476.9175589
769	476.8112581
770	476.6857977
771	476.5721314
772	476.5712785
773	476.4505017
774	476.3677523
775	476.3509861
776	476.2293069
777	476.1198454
778	476.036227
779	475.9454124
780	475.8385522
781	475.7740031
782	475.6511454
783	475.6006363
784	475.5461085
785	475.5295944
786	475.5039144
787	475.3952143
788	475.3144035
789	475.2196645
790	475.1938615
791	475.1381739
792	475.0937223
793	474.9877831
794	474.8471109
795	474.69821
796	474.6120249
797	474.5627673
798	474.5386805
799	474.4878236
800	474.4023536
801	474.3438403
802	474.2765467
803	474.1756292
804	474.0888808
805	474.0880353
806	473.9805479
807	473.9173857
808	473.7822654
809	473.6706665
810	473.5616981
811	473.5005544
812	473.4073515
813	473.3178842
814	473.2222236
815	473.0797514
816	472.9888918
817	472.9677522
818	472.8910102
819	472.7466983
820	472.6543555
821	472.5477426
822	472.494694
823	472.3823455
824	472.2249368
825	472.2109856
826	472.1667099
827	472.1216877
828	472.0722571
829	471.97444
830	471.8570987
831	471.7248616
832	471.651822
833	471.5757637
834	471.5160853
835	471.4733106
836	471.4130837
837	471.3762652
838	471.2926114
839	471.1537964
840	471.1048605
841	471.0605348
842	470.9757346
843	470.8725077
844	470.8268129
845	470.8009031
846	470.6774145
847	470.5915666
848	470.5907048
849	470.4861656
850	470.4732645
851	470.3956797
852	470.3295822
853	470.2766561
854	470.227597
855	470.1375175
856	470.1155022
857	469.9508891
858	469.9371242
859	469.8826432
860	469.8291236
861	469.7599518
862	469.7094966
863	469.6206298
864	469.4999181
865	469.4990029
866	469.4550592
867	469.3664965
868	469.2122217
869	469.1521045
870	469.1018321
871	469.0904145
872	468.9204302
873	468.9193911
874	468.8372098
875	468.6821815
876	468.6288429
877	468.5159849
878	468.4614979
879	468.3681509
880	468.2318194
881	468.1558698
882	468.0945068
883	468.0116341
884	468.0106121
885	467.9649803
886	467.9211966
887	467.8153488
888	467.741833
889	467.6177863
890	467.5739183
891	467.4596968
892	467.3709588
893	467.2434873
894	467.1145913
895	467.0619863
896	466.9713612
897	466.9147634
898	466.8460587
899	466.7042504
900	466.62499
901	466.5461399
902	466.5456117
903	466.4698072
904	466.4192214
905	466.3758521
906	466.3062506
907	466.2327666
908	466.1787913
909	466.083317
910	465.9595142
911	465.8255114
912	465.6305823
913	465.5011703
914	465.4371032
915	465.3636928
916	465.3251996
917	465.3058472
918	465.2087697
919	465.092812
920	465.0311128
921	464.9500488
922	464.9013153
923	464.8431051
924	464.8058108
925	464.7386005
926	464.6810964
927	464.6209672
928	464.4764697
929	464.4352866
930	464.2817818
931	464.1874456
932	464.0984272
933	464.0624928
934	464.0417691
935	463.9013607
936	463.8240651
937	463.7724005
938	463.6321242
939	463.6062791
940	463.5951327
941	463.5610976
942	463.5066985
943	463.4879531
944	463.4399679
945	463.2869145
946	463.181226
947	463.0504942
948	462.9482705
949	462.8207419
950	462.7537312
951	462.7160313
952	462.6410784
953	462.5629403
954	462.5407353
955	462.47956	460.8014121
957	460.7276641
958	460.6504733
959	460.6159015
960	460.487533
961	460.461773
962	460.3701886
963	460.3209734
964	460.1134567
965	459.9794664
966	459.8419702
967	459.7780145
968	459.6994804
969	459.5736003
970	459.4088191
971	459.3037249
972	459.1865338
973	459.0841325
974	458.9652816
975	458.8536136
976	458.7987336
977	458.7347484
978	458.6531042
979	458.5551891
980	458.5313266
981	458.4934243
982	458.4886735
983	458.4223455
984	458.3442948
985	458.3146089
986	458.2308203
987	458.1593267
988	458.0909306
989	457.9949728
990	457.9183806
991	457.8132971
992	457.7559713
993	457.6516503
994	457.599488
995	457.4702683
996	457.3835625
997	457.3162195
998	457.2466502
999	457.1867729
97
.3196948
