iter	Passed	Remaining
413	3584	5073
414	3590	5061
415	3597	5050
416	3602	5035
417	3614	5032
418	3622	5023
419	3633	5017
420	3636	5001
421	3646	4994
422	3653	4983
423	3662	4975
424	3674	4971
425	3685	4965
426	3690	4952
427	3694	4938
428	3701	4926
429	3707	4914
430	3716	4906
431	3722	4894
432	3729	4883
433	3737	4874
434	3744	4863
435	3752	4854
436	3759	4843
437	3768	4835
438	3775	4824
439	3783	4815
440	3793	4809
441	3800	4798
442	3812	4793
443	3825	4789
444	3833	4781
445	3842	4772
446	3853	4766
447	3863	4760
448	3866	4745
449	3878	4740
450	3889	4734
451	3899	4727
452	3907	4717
453	3915	4708
454	3919	4694
455	3932	4691
456	3941	4683
457	3948	4672
458	3952	4658
459	3962	4652
460	3972	4645
461	3980	4635
462	3984	4621
463	3992	4612
464	4004	4606
465	4009	4594
466	4016	4584
467	4022	4572
468	4031	4563
469	4037	4553
470	4044	4542
471	4052	4533
472	4056	4520
473	4067	4513
474	4076	4505
475	4085	4497
476	4089	4484
477	4098	4475
478	4107	4468
479	4111	4454
480	4119	4445
481	4124	4432
482	4132	4423
483	4145	4419
484	4153	4410
485	4162	4402
486	4166	4389
487	4176	4382
488	4185	4374
489	4197	4369
490	4208	4362
491	4215	4353
492	4225	4345
493	4232	4335
494	4246	4331
495	4251	4320
496	4263	4314
497	4268	4303
498	4278	4296
499	4285	4285
500	4293	4276
501	4299	4265
502	4306	4254
503	4311	4242
504	4320	4235
505	4324	4222
506	4328	4209
507	4335	4199
508	4346	4192
509	4353	4182
510	4363	4175
511	4368	4163
512	4374	4153
513	4381	4143
514	4389	4133
515	4398	4125
516	4406	4116
517	4412	4105
518	4417	4094
519	4424	4084
520	4432	4075
521	4441	4066
522	4446	4055
523	4455	4047
524	4461	4036
525	4467	4026
526	4475	4016
527	4479	4004
528	4491	3999
529	4496	3987
530	4505	3979
531	4511	3969
532	4520	3960
533	4528	3951
534	4535	3941
535	4546	3936
536	4557	3929
537	4561	3917
538	4568	3907
539	4576	3898
540	4586	3890
541	4597	3884
542	4609	3879
543	4618	3871
544	4621	3858
545	4634	3853
546	4638	3841
547	4647	3833
548	4656	3824
549	4664	3816
550	4669	3805
551	4677	3796
552	4692	3793
553	4700	3784
554	4713	3779
555	4719	3768
556	4724	3757
557	4731	3747
558	4741	3740
559	4749	3731
560	4755	3721
561	4764	3713
562	4773	3705
563	4785	3699
564	4792	3689
565	4801	3681
566	4808	3672
567	4814	3661
568	4822	3653
569	4830	3644
570	4837	3634
571	4847	3627
572	4862	3623
573	4868	3613
574	4875	3603
575	4887	3598
576	4897	3590
577	4906	3582
578	4914	3573
579	4925	3566
580	4935	3559
581	4943	3550
582	4953	3542
583	4968	3539
584	4982	3534
585	4992	3527
586	5003	3520
587	5022	3519
588	5036	3514
589	5048	3507
590	5059	3501
591	5065	3490
592	5078	3485
593	5090	3479
594	5100	3471
595	5112	3465
596	5120	3456
597	5132	3450
598	5146	3445
599	5150	3433
600	5166	3429
601	5174	3420
602	5188	3415
603	5192	3404
604	5202	3396
605	5221	3394
606	5233	3388
607	5240	3378
608	5249	3370
609	5255	3360
610	5261	3350
611	5270	3341
612	5286	3337
613	5293	3327
614	5307	3322
615	5317	3314
616	5322	3303
617	5337	3299
618	5346	3290
619	5350	3279
620	5355	3268
621	5363	3259
622	5373	3251
623	5380	3242
624	5387	3232
625	5396	3223
626	5408	3217
627	5414	3207
628	5423	3198
629	5432	3190
630	5438	3180
631	5441	3168
632	5452	3161
633	5459	3151
634	5466	3142
635	5474	3133
636	5489	3128
637	5501	3121
638	5508	3112
639	5519	3104
640	5524	3093
641	5533	3085
642	5539	3075
643	5548	3067
644	5557	3058
645	5567	3050
646	5572	3040
647	5580	3031
648	5586	3021
649	5592	3011
650	5600	3002
651	5606	2992
652	5615	2984
653	5625	2976
654	5630	2965
655	5633	2954
656	5639	2944
657	5644	2933
658	5670	2934
659	5676	2924
660	5682	2914
661	5690	2905
662	5696	2895
663	5708	2888
664	5716	2879
665	5722	2870
666	5732	2862
667	5741	2853
668	5751	2845
669	5756	2835
670	5763	2825
671	5771	2817
672	5779	2808
673	5788	2799
674	5796	2791
675	5804	2781
676	5813	2773
677	5819	2763
678	5828	2755
679	5834	2745
680	5842	2736
681	5851	2728
682	5860	2719
683	5865	2709
684	5875	2701
685	5882	2692
686	5892	2684
687	5896	2674
688	5901	2663
689	5916	2658
690	5924	2649
691	5930	2639
692	5937	2630
693	5941	2619
694	5951	2611
695	5958	2602
696	5967	2594
697	5971	2583
698	5976	2573
699	5982	2563
700	5987	2553
701	5991	2543
702	5996	2533
703	6002	2523
704	6007	2513
705	6017	2505
706	6026	2497
707	6032	2488
708	6044	2480
709	6050	2471
710	6058	2462
711	6070	2455
712	6080	2447
713	6086	2438
714	6095	2429
715	6103	2420
716	6110	2411
717	6119	2403
718	6126	2394
719	6135	2385
720	6138	2375
721	6149	2367
722	6156	2358
723	6162	2349
724	6172	2341
725	6184	2334
726	6188	2323
727	6197	2315
728	6202	2305
729	6208	2296
730	6212	2286
731	6218	2276
732	6230	2269
733	6240	2261
734	6253	2254
735	6261	2245
736	6273	2238
737	6283	2230
738	6293	2222
739	6302	2214
740	6312	2206
741	6324	2199
742	6337	2192
743	6348	2184
744	6353	2174
745	6360	2165
746	6370	2157
747	6380	2149
748	6391	2141
749	6397	2132
750	6409	2124
751	6413	2115
752	6418	2105
753	6426	2096
754	6431	2086
755	6438	2078
756	6451	2070
757	6462	2063
758	6470	2054
759	6474	2044
760	6479	2035
761	6489	2026
762	6498	2018
763	6512	2011
764	6521	2003
765	6528	1994
766	6535	1985
767	6546	1977
768	6552	1968
769	6558	1959
770	6573	1952
771	6582	1944
772	6590	1935
773	6601	1927
774	6610	1919
775	6622	1911
776	6634	1904
777	6646	1896
778	6656	1888
779	6665	1879
780	6674	1871
781	6680	1862
782	6688	1853
783	6692	1843
784	6698	1834
785	6704	1825
786	6708	1815
787	6713	1806
788	6719	1796
789	6725	1787
790	6729	1778
791	6733	1768
792	6737	1758
793	6742	1749
794	6746	1739
795	6752	1730
796	6757	1721
797	6761	1711
798	6765	1702
799	6770	1692
800	6776	1683
801	6780	1674
802	6785	1664
803	6790	1655
804	6794	1645
805	6798	1636
806	6804	1627
807	6810	1618
808	6814	1608
809	6820	1599
810	6824	1590
811	6829	1581
812	6834	1572
813	6841	1563
814	6846	1554
815	6852	1545
816	6859	1536
817	6862	1526
818	6867	1517
819	6871	1508
820	6876	1499
821	6882	1490
822	6885	1480
823	6890	1471
824	6897	1463
825	6901	1453
826	6908	1445
827	6913	1436
828	6918	1427
829	6923	1418
830	6929	1409
831	6933	1399
832	6939	1391
833	6945	1382
834	6951	1373
835	6959	1365
836	6964	1356
837	6974	1348
838	6978	1339
839	6983	1330
840	6995	1322
841	6999	1313
842	7005	1304
843	7012	1296
844	7021	1287
845	7025	1278
846	7030	1269
847	7039	1261
848	7045	1253
849	7056	1245
850	7062	1236
851	7067	1227
852	7073	1219
853	7077	1210
854	7081	1200
855	7090	1192
856	7095	1184
857	7100	1175
858	7107	1166
859	7113	1157
860	7117	1148
861	7121	1140
862	7125	1131
863	7128	1122
864	7134	1113
865	7138	1104
866	7143	1095
867	7150	1087
868	7155	1078
869	7159	1069
870	7164	1061
871	7168	1052
872	7173	1043
873	7178	1034
874	7183	1026
875	7187	1017
876	7192	1008
877	7198	1000
878	7203	991
879	7207	982
880	7212	974
881	7216	965
882	7220	956
883	7224	947
884	7227	939
885	7231	930
886	7235	921
887	7240	913
888	7244	904
889	7249	896
890	7253	887
891	7259	878
892	7268	870
893	7277	862
894	7281	854
895	7286	845
896	7293	837
897	7298	828
898	7307	820
899	7312	812
900	7321	804
901	7326	795
902	7331	787
903	7335	778
904	7340	770
905	7343	761
906	7348	753
907	7353	745
908	7357	736
909	7365	728
910	7369	719
911	7375	711
912	7380	703
913	7385	694
914	7388	686
915	7391	677
916	7394	669
917	7398	660
918	7401	652
919	7404	643
920	7408	635
921	7411	627
922	7414	618
923	7418	610
924	7421	601
925	7424	593
926	7427	584
927	7430	576
928	7433	568
929	7436	559
930	7439	551
931	7442	543
932	7445	534
933	7448	526
934	7450	517
935	7454	509
936	7457	501
937	7460	493
938	7463	484
939	7466	476
940	7469	468
941	7472	460
942	7475	451
943	7478	443
944	7481	435
945	7485	427
946	7488	419
947	7492	410
948	7496	402
949	7499	394
950	7502	386
951	7505	378
952	7508	370
953	7512	362
954	7515	354
955	751956	7467	335
957	7476	327
958	7483	319
959	7488	312
960	7497	304
961	7500	296
962	7503	288
963	7506	280
964	7510	272
965	7513	264
966	7517	256
967	7520	248
968	7523	240
969	7526	232
970	7529	224
971	7533	217
972	7536	209
973	7539	201
974	7542	193
975	7545	185
976	7548	177
977	7551	169
978	7555	162
979	7558	154
980	7560	146
981	7563	138
982	7566	130
983	7569	123
984	7571	115
985	7574	107
986	7577	99
987	7579	92
988	7582	84
989	7586	76
990	7588	68
991	7591	61
992	7594	53
993	7597	45
994	7600	38
995	7603	30
996	7606	22
997	7608	15
998	7611	7
999	7614	0
7648	0
